Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT2010FKE0740R2L,R,40.2 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE0740R2L,RES SMD 40.2 Ω 1% 2010 200V,Yageo,RT2010FKE0740R2L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE0740R2L
R_AA0805FR-0740R2L,R,40.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-0740R2L,RES SMD 40.2 Ω 1% 0805 150V,Yageo,AA0805FR-0740R2L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-0740R2L
R_ERJ-2RKF41R2X,R,41.2 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 41.2 Ω 1% 0402 50V,Panasonic,ERJ-2RKF41R2X,1%,100 ppm/°C,50V,0402,1005,ERJ-2RKF,https://www.trustedparts.com/en/search/ERJ-2RKF41R2X
R_ERJ-3EKF41R2V,R,41.2 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 41.2 Ω 1% 0603 75V,Panasonic,ERJ-3EKF41R2V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF41R2V
R_ERJ-6ENF41R2V,R,41.2 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 41.2 Ω 1% 0805 150V,Panasonic,ERJ-6ENF41R2V,1%,100 ppm/°C,150V,0805,2012,ERJ-6ENF,https://www.trustedparts.com/en/search/ERJ-6ENF41R2V
R_ERJ-P08F41R2V,R,41.2 Ω,resistor_footprints:R_1206_3216Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 41.2 Ω 1% 1206 500V,Panasonic,ERJ-P08F41R2V,1%,100 ppm/°C,500V,1206,3216,ERJ-P08F,https://www.trustedparts.com/en/search/ERJ-P08F41R2V
R_ERJ-P06F41R2V,R,41.2 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 41.2 Ω 1% 0805 400V,Panasonic,ERJ-P06F41R2V,1%,100 ppm/°C,400V,0805,2012,ERJ-P06F,https://www.trustedparts.com/en/search/ERJ-P06F41R2V
R_ERJ-P03F41R2V,R,41.2 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 41.2 Ω 1% 0603 150V,Panasonic,ERJ-P03F41R2V,1%,150 ppm/°C,150V,0603,1608,ERJ-P03F,https://www.trustedparts.com/en/search/ERJ-P03F41R2V
R_RT0805BRA0741R2L,R,41.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA0741R2L,RES SMD 41.2 Ω 0.1% 0805 150V,Yageo,RT0805BRA0741R2L,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA0741R2L
R_RT0805BRB0741R2L,R,41.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRB0741R2L,RES SMD 41.2 Ω 0.1% 0805 150V,Yageo,RT0805BRB0741R2L,0.1%,10 ppm/°C,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0741R2L
